DATE,VALUE
1996-01-01,127.000
1996-02-01,126.300
1996-03-01,125.700
1996-04-01,125.900
1996-05-01,126.300
1996-06-01,126.200
1996-07-01,125.800
1996-08-01,126.200
1996-09-01,126.400
1996-10-01,125.500
1996-11-01,124.300
1996-12-01,124.200
1997-01-01,125.500
1997-02-01,126.600
1997-03-01,126.200
1997-04-01,125.800
1997-05-01,126.000
1997-06-01,126.100
1997-07-01,126.700
1997-08-01,126.800
1997-09-01,126.800
1997-10-01,126.800
1997-11-01,127.200
1997-12-01,127.000
1998-01-01,127.000
1998-02-01,126.600
1998-03-01,125.700
1998-04-01,125.500
1998-05-01,125.300
1998-06-01,125.000
1998-07-01,124.200
1998-08-01,122.600
1998-09-01,120.500
1998-10-01,117.600
1998-11-01,115.600
1998-12-01,114.500
1999-01-01,113.900
1999-02-01,113.800
1999-03-01,112.900
1999-04-01,112.800
1999-05-01,113.100
1999-06-01,113.800
1999-07-01,113.400
1999-08-01,114.000
1999-09-01,113.900
1999-10-01,114.300
1999-11-01,115.500
1999-12-01,117.100
2000-01-01,118.300
2000-02-01,118.200
2000-03-01,118.400
2000-04-01,119.000
2000-05-01,118.400
2000-06-01,117.600
2000-07-01,117.100
2000-08-01,116.200
2000-09-01,116.100
2000-10-01,114.700
2000-11-01,112.800
2000-12-01,112.400
2001-01-01,112.100
2001-02-01,110.600
2001-03-01,110.600
2001-04-01,110.200
2001-05-01,109.900
2001-06-01,109.700
2001-07-01,110.000
2001-08-01,109.900
2001-09-01,109.600
2001-10-01,108.600
2001-11-01,107.600
2001-12-01,107.300
2002-01-01,107.100
2002-02-01,107.700
2002-03-01,109.000
2002-04-01,110.800
2002-05-01,112.900
2002-06-01,114.700
2002-07-01,115.900
2002-08-01,117.000
2002-09-01,118.600
2002-10-01,118.900
2002-11-01,118.200
2002-12-01,117.900
2003-01-01,118.600
2003-02-01,120.100
2003-03-01,120.700
2003-04-01,120.700
2003-05-01,119.800
2003-06-01,119.200
2003-07-01,119.400
2003-08-01,120.800
2003-09-01,122.000
2003-10-01,123.200
2003-11-01,125.000
2003-12-01,128.400
2004-01-01,134.000
2004-02-01,143.600
2004-03-01,150.300
2004-04-01,154.400
2004-05-01,155.300
2004-06-01,155.200
2004-07-01,166.000
2004-08-01,174.200
2004-09-01,174.000
2004-10-01,178.900
2004-11-01,182.400
2004-12-01,180.600
2005-01-01,181.200
2005-02-01,179.800
