DATE,VALUE
2018-09-01,115.800
2018-10-01,115.700
2018-11-01,115.800
2018-12-01,115.800
2019-01-01,116.700
2019-02-01,116.800
2019-03-01,116.800
2019-04-01,116.900
2019-05-01,116.800
2019-06-01,116.800
2019-07-01,117.000
2019-08-01,116.700
2019-09-01,116.900
2019-10-01,116.800
2019-11-01,116.800
2019-12-01,117.000
2020-01-01,118.000
2020-02-01,118.000
2020-03-01,118.000
2020-04-01,117.700
2020-05-01,117.700
2020-06-01,117.600
2020-07-01,117.700
2020-08-01,117.700
2020-09-01,117.800
2020-10-01,117.300
2020-11-01,117.500
2020-12-01,117.700
2021-01-01,117.400
2021-02-01,117.500
2021-03-01,118.100
2021-04-01,118.800
2021-05-01,119.300
2021-06-01,119.800
2021-07-01,120.156
2021-08-01,120.579
2021-09-01,121.955
2021-10-01,122.536
2021-11-01,123.319
2021-12-01,123.825
2022-01-01,125.904
2022-02-01,126.760
2022-03-01,127.511
2022-04-01,127.926
2022-05-01,128.709
2022-06-01,129.789
2022-07-01,130.485
2022-08-01,130.969
2022-09-01,131.312
2022-10-01,131.658
2022-11-01,132.147
2022-12-01,132.565
2023-01-01,133.728
2023-02-01,133.778
2023-03-01,133.933
2023-04-01,134.060
2023-05-01,133.386
2023-06-01,133.752
2023-07-01,134.094
2023-08-01,134.357
2023-09-01,134.518
2023-10-01,134.645
2023-11-01,134.879
2023-12-01,134.879
2024-01-01,136.386
2024-02-01,136.762
2024-03-01,137.011
2024-04-01,137.132
2024-05-01,137.305
2024-06-01,137.540
2024-07-01,137.351
2024-08-01,137.444
2024-09-01,137.724
2024-10-01,137.945
2024-11-01,138.594
2024-12-01,138.687
2025-01-01,139.346
2025-02-01,139.337
2025-03-01,139.903
2025-04-01,141.141
2025-05-01,141.702
2025-06-01,141.160
2025-07-01,141.641
2025-08-01,143.199
2025-09-01,143.706
2025-10-01,144.416
2025-11-01,145.044
2025-12-01,145.628
2026-01-01,150.438
2026-02-01,154.504
2026-03-01,155.716
2026-04-01,160.100
2026-05-01,160.031
