DATE,VALUE
2019-12-01,13829.43
2020-01-01,13506.86
2020-02-01,12715.55
2020-03-01,11846.23
2020-04-01,11804.01
2020-05-01,12179.61
2020-06-01,12727.15
2020-07-01,13402.30
2020-08-01,14575.78
2020-09-01,14857.49
2020-10-01,15239.36
2020-11-01,15807.73
2020-12-01,16823.04
2021-01-01,17863.18
2021-02-01,18584.38
2021-03-01,16406.66
2021-04-01,16521.25
2021-05-01,17602.10
2021-06-01,17979.57
2021-07-01,18818.51
2021-08-01,19141.30
2021-09-01,19376.88
2021-10-01,19362.39
2021-11-01,19932.86
2021-12-01,20015.55
2022-01-01,22355.40
2022-02-01,24015.55
2022-03-01,33924.18
2022-04-01,33133.81
2022-05-01,28228.89
2022-06-01,25877.07
2022-07-01,21481.89
2022-08-01,22034.89
2022-09-01,22773.97
2022-10-01,22032.89
2022-11-01,25562.70
2022-12-01,28985.92
2023-01-01,28271.49
2023-02-01,26727.95
2023-03-01,23288.61
2023-04-01,23770.80
2023-05-01,22134.78
2023-06-01,21233.28
2023-07-01,21091.26
2023-08-01,20446.36
2023-09-01,19644.64
2023-10-01,18264.04
2023-11-01,17027.36
2023-12-01,16443.52
2024-01-01,16111.67
2024-02-01,16338.46
2024-03-01,17397.36
2024-04-01,18132.36
2024-05-01,19576.55
2024-06-01,17498.01
2024-07-01,16334.88
2024-08-01,16303.29
2024-09-01,16167.68
2024-10-01,16765.80
2024-11-01,15726.95
2024-12-01,15438.66
2025-01-01,15374.06
2025-02-01,15287.03
2025-03-01,16048.20
2025-04-01,15146.00
2025-05-01,15350.40
2025-06-01,15003.11
2025-07-01,15034.02
2025-08-01,14948.06
2025-09-01,15103.18
2025-10-01,15092.11
2025-11-01,14670.77
2025-12-01,14879.03
2026-01-01,17710.86
2026-02-01,17173.10
2026-03-01,17076.29
2026-04-01,17864.92
2026-05-01,18879.23
